Name,Artículo principal,Blocking,Categorias,Conocimiento previo,Created,Date,Subítem
Instalación de Python en Linux y sus herramientas,,,Python Básico,,13 de agosto de 2023 18:19,,
pipenv,,,Entornos Virtuales para Python,,16 de agosto de 2023 13:44,,
Conda y Anaconda,,"Snakemake (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Snakemake%200cbffa0410f649699dfa6383bdba2fbf.html), Mamba (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Mamba%20c992a287a3ce4ab883c7a78da607297a.html)",Entornos Virtuales para Python,,14 de agosto de 2023 14:46,,
Mamba,,Snakemake (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Snakemake%200cbffa0410f649699dfa6383bdba2fbf.html),Entornos Virtuales para Python,Conda y Anaconda (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Conda%20y%20Anaconda%20dca4171b8d96405d907fe690570f02d8.html),16 de agosto de 2023 13:39,,
Snakemake,,,Entornos Virtuales para Python,"Mamba (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Mamba%20c992a287a3ce4ab883c7a78da607297a.html), Conda y Anaconda (My%20Roadmap%20Python%203%209abdee43adba4371add9675ed009f7c9/Conda%20y%20Anaconda%20dca4171b8d96405d907fe690570f02d8.html)",16 de agosto de 2023 13:39,,
Docker,,,Entornos Virtuales para Python,,16 de agosto de 2023 13:43,,
,,,Crear Animaciones,,17 de agosto de 2023 11:30,,
PyGame,,,Crear Animaciones,,15 de agosto de 2023 16:13,,
Terminal Linux,,,Guías Complementarias,,17 de agosto de 2023 11:34,,
Git & GitHub,,,Guías Complementarias,,17 de agosto de 2023 11:36,,
Markdown,,,Guías Complementarias,,17 de agosto de 2023 11:30,,
LaTeX,,,Guías Complementarias,,17 de agosto de 2023 11:34,,
HTML,,,Guías Complementarias,,17 de agosto de 2023 11:37,,
CSS,,,Guías Complementarias,,17 de agosto de 2023 11:37,,
,,,Python Básico,,20 de agosto de 2023 18:10,,